GEN,UnitOnT0State,PowerGeneratedT0
NYISO_Shoreham_1_B80,168,0.0
NYISO_Shoreham_2_B80,-163,0.0
NYISO_South_Cairo_B39,-154,0.0
NYISO_Southold_1_B80,168,14.0
NYISO_St._Elizabeth_Medical_Center_B45,-163,0.0
NYISO_FitzPatrick_B50,1167,854.5
NYISO_Nine_Mile_Point_1_B50,1167,629.0
NYISO_Nine_Mile_Point_2_B50,1167,1299.0
NYISO_Indian_Point_2_B74,1167,1025.9
NYISO_Indian_Point_3_B74,1167,1039.9
NYISO_Ginna_B53,1167,581.7
NYISO_Niagara_B55,1167,2460.0
NYISO_St._Lawrence_B48,1167,856.0
NYISO_PJM_import_B75,1167,1351.5
NYISO_PJM_import_B81,1167,874.5
NYISO_PJM_import_B66,1167,424.0
NYISO_HQ_import_B48,1167,845.0
NYISO_HQ_import_B54,1167,845.0
NYISO_NE_import_B37,1167,189.0
NYISO_NE_import_B73,1167,111.0
NYISO_IESO_import_B54,1167,1148.1
NYISO_IESO_import_B48,158,141.9
