day,hour_utc,actual_mw,in_80,in_90,pit,bias
2024-03-27,21,987.487498,1.0,1.0,0.714,124.23999820225436
2024-03-27,22,845.9580869999999,1.0,1.0,0.615,62.10212592532184
2024-03-27,23,842.7912329999999,1.0,1.0,0.681,81.2836613609386
2024-04-03,0,2160.7152530000003,1.0,1.0,0.8,168.914676756066
2024-04-03,1,2167.1671340000003,1.0,1.0,0.775,157.91840471793967
2024-04-03,2,2207.211924,1.0,1.0,0.739,123.01706626865098
2024-04-03,3,2256.1094550000003,1.0,1.0,0.758,117.09056506749812
2024-04-03,4,2271.283689000001,1.0,1.0,0.596,41.20996877377911
2024-04-03,5,2307.4524250000004,1.0,1.0,0.521,10.701987186880615
2024-04-03,6,2620.4753329999994,1.0,1.0,0.855,189.6695011417014
2024-04-03,7,2794.052178000001,0.0,0.0,0.994,261.3046899172341
2024-04-03,8,2743.0900210000004,1.0,1.0,0.883,153.00331160127143
2024-04-03,9,2779.316847,0.0,0.0,0.959,211.0394083129827
2024-04-03,10,2814.3571939999997,0.0,0.0,0.987,233.3900010945399
2024-04-03,11,2838.693545,0.0,0.0,0.999,291.10304183562266
2024-04-03,12,2858.4718980000007,0.0,0.0,1.0,334.2411402030766
2024-04-03,13,2808.5447480000007,0.0,0.0,0.994,283.52086394220805
2024-04-03,14,2761.799973,0.0,1.0,0.944,228.80659305636982
2024-04-03,15,2599.63991,1.0,1.0,0.795,134.01132931444317
2024-04-03,16,2463.689303,1.0,1.0,0.73,110.24389221101228
2024-04-03,17,2250.3371740000002,1.0,1.0,0.72,108.27763405539463
2024-04-03,18,2086.4580170000004,1.0,1.0,0.602,45.39358757918785
2024-04-03,19,2076.337284,1.0,1.0,0.548,35.60063409843838
2024-04-03,20,2324.376432,0.0,1.0,0.903,266.18254239726093
2024-04-03,21,1946.2489369999998,1.0,1.0,0.537,16.104284025660945
2024-04-03,22,1577.5288329999998,1.0,1.0,0.266,-133.81019060404424
2024-04-03,23,1553.322489,1.0,1.0,0.455,-15.472096935586933
2024-04-10,0,548.178277,0.0,0.0,0.003,-520.4960578812531
2024-04-10,1,1121.8831259999997,1.0,1.0,0.261,-168.2824361675007
2024-04-10,2,1684.2418559999994,1.0,1.0,0.583,52.12255383041406
2024-04-10,3,1594.0987109999999,1.0,1.0,0.184,-196.69167090659562
2024-04-10,4,1524.6331700000003,1.0,1.0,0.345,-101.7843581815846
2024-04-10,5,1380.589698,1.0,1.0,0.393,-69.61050953291237
2024-04-10,6,1143.350074,1.0,1.0,0.185,-231.53496033934198
2024-04-10,7,1172.085976,1.0,1.0,0.214,-209.93850993156252
2024-04-10,8,859.2044890000001,0.0,0.0,0.01,-605.725467029759
2024-04-10,9,1255.904419,1.0,1.0,0.214,-205.9128079168579
2024-04-10,10,1366.0047539999998,1.0,1.0,0.273,-155.053790147854
2024-04-10,11,1241.6538679999999,1.0,1.0,0.198,-230.47142388551583
2024-04-10,12,954.6547860000001,0.0,0.0,0.033,-437.35465820350237
2024-04-10,13,769.0991989999998,0.0,0.0,0.043,-406.80149598696426
2024-04-10,14,977.7095320000003,1.0,1.0,0.585,38.438834431610985
2024-04-10,15,639.884896,1.0,1.0,0.257,-125.44230817140203
2024-04-10,16,493.040973,1.0,1.0,0.103,-211.28351421184664
2024-04-10,17,291.897916,0.0,0.0,0.001,-391.2354230401721
2024-04-10,18,393.19590300000004,0.0,0.0,0.043,-283.2287739149092
2024-04-10,19,420.587853,0.0,1.0,0.062,-243.02222277937835
2024-04-10,20,368.7597619999999,0.0,0.0,0.036,-274.2318269426071
2024-04-10,21,615.858532,1.0,1.0,0.569,24.16241389124548
2024-04-10,22,534.0811600000001,1.0,1.0,0.489,-2.515694858391271
2024-04-10,23,485.40432100000004,1.0,1.0,0.443,-22.62509128482054
2024-04-17,0,607.4708100000001,1.0,1.0,0.403,-43.362558830984426
2024-04-17,1,599.028519,1.0,1.0,0.436,-24.771499465878833
2024-04-17,2,820.996846,1.0,1.0,0.864,187.06291740851543
2024-04-17,3,699.172461,1.0,1.0,0.704,79.27183579616303
2024-04-17,4,699.310286,1.0,1.0,0.64,53.95194960408162
2024-04-17,5,684.1325169999999,1.0,1.0,0.536,15.567339491880034
2024-04-17,6,698.790274,1.0,1.0,0.489,-5.283906801570879
2024-04-17,7,867.930969,1.0,1.0,0.738,101.77408370171656
2024-04-17,8,1004.86688,1.0,1.0,0.859,196.584102057285
2024-04-17,9,1199.854732,0.0,1.0,0.946,320.1355688763183
2024-04-17,10,1226.383988,0.0,1.0,0.935,295.7470633853453
2024-04-17,11,979.605327,1.0,1.0,0.538,11.502764597610849
2024-04-17,12,752.2680959999999,1.0,1.0,0.135,-178.22459653384578
2024-04-17,13,475.7017610000001,0.0,0.0,0.027,-349.3444895241493
2024-04-17,14,481.15425400000015,1.0,1.0,0.155,-160.58703068891862
2024-04-17,15,327.170012,1.0,1.0,0.12,-154.8722670711361
2024-04-17,16,465.110181,1.0,1.0,0.72,83.02247376603486
2024-04-17,17,412.361256,1.0,1.0,0.653,49.965303805616145
2024-04-17,18,604.6176879999999,1.0,1.0,0.847,198.56289392447093
2024-04-17,19,719.302457,1.0,1.0,0.894,249.55600748137647
2024-04-17,20,733.7506099999999,1.0,1.0,0.795,138.2073353265049
2024-04-17,21,916.889787,1.0,1.0,0.758,117.68667810570162
2024-04-17,22,963.2793970000001,1.0,1.0,0.216,-162.5678595745045
2024-04-17,23,1244.2192080000002,1.0,1.0,0.38,-75.62469836353375
2024-04-24,0,1234.704845,1.0,1.0,0.536,17.210690122288042
