facility,hours_7y,mean_cost,total_cost,status,branch_uid,cur_rating,n1,n2,kv,kv1,kv2,hits1,hits2,bus1,bus2
EGRDNCTY 138 NEWBRDGE 138 1,3628,10.34,37519.0,unmatched_name,,,EGRDNCTY,NEWBRDGE,,138.0,138.0,0.0,0.0,,
ASTANNEX 345 E13THSTA 345 1,3573,2.06,7374.0,unmatched_name,,,ASTANNEX,E13THSTA,,345.0,345.0,1.0,0.0,,
SHORE_RD 345 SHORE_RD 138 1,3347,10.52,35225.0,unmatched_name,,,SHORE_RD,SHORE_RD,,345.0,138.0,1.0,0.0,,
ELWOOD    69 PULASKLI  69 1,3275,130.4,427045.0,unmatched_name,,,ELWOOD,PULASKLI,,69.0,69.0,0.0,0.0,,
SCH - HQ - NY,3263,5.42,17693.0,interface_constraint,,,,,,,,,,,
MOTTHAVN 345 DUNWODIE 345 1,2941,-8.5,-25007.0,missing_branch,,,MOTTHAVN,DUNWODIE,345.0,,,,,10106.0,451.0
GOETHALS 345 GOWANUS  345 1,2914,23.72,69125.0,matched,OSM_J_345_0004,999999.0,GOETHALS,GOWANUS,345.0,,,,,,
GLENWOOD 138 SHORE_RD 138 1,2905,-8.2,-23833.0,unmatched_name,,,GLENWOOD,SHORE_RD,,138.0,138.0,0.0,0.0,,
LAKSUCSS 138 SHORE_RD 138 1,2613,-26.07,-68114.0,unmatched_name,,,LAKSUCSS,SHORE_RD,,138.0,138.0,0.0,0.0,,
MOTTHAVN 345 RAINEY   345 1,2468,4.49,11086.0,missing_branch,,,MOTTHAVN,RAINEY,345.0,,,,,10106.0,10107.0
NIAGARA  115 PACKARD  115 1,2317,5.9,13663.0,unmatched_name,,,NIAGARA,PACKARD,,115.0,115.0,0.0,0.0,,
ASTORIAW 138 HELLGATE 138 1,1941,3.51,6822.0,unmatched_name,,,ASTORIAW,HELLGATE,,138.0,138.0,0.0,1.0,,
HAUPPAUG 138 PILGRIM  138 1,1926,-35.83,-69002.0,unmatched_name,,,HAUPPAUG,PILGRIM,,138.0,138.0,0.0,0.0,,
NIAGARA  115 PACKARD  115 2,1875,10.09,18927.0,unmatched_name,,,NIAGARA,PACKARD,,115.0,115.0,0.0,0.0,,
BRENTWOD  69 PILGRIM   69 3,1837,-40.86,-75063.0,unmatched_name,,,BRENTWOD,PILGRIM,,69.0,69.0,0.0,0.0,,
GORDONRD 230 ROTTRDAM 230 1,1826,117.92,215327.0,unmatched_name,,,GORDONRD,ROTTRDAM,,230.0,230.0,0.0,0.0,,
FOXHILLS 138 GREENWD  138 1,1810,17.13,30999.0,unmatched_name,,,FOXHILLS,GREENWD,,138.0,138.0,0.0,1.0,,
ELWOOD   138 NRTHPORT 138 1,1662,-25.29,-42031.0,unmatched_name,,,ELWOOD,NRTHPORT,,138.0,138.0,1.0,0.0,,
DEPOSIT   69 INDIANHD  69 1,1620,26.72,43284.0,unmatched_name,,,DEPOSIT,INDIANHD,,69.0,69.0,0.0,1.0,,
