Time,Load,Solar (utility),BTM solar,Wind
2022-09-06 14:00:00+00:00,21205.8108,2.483252401001769,339.48,54.23060577691242
2022-09-06 15:00:00+00:00,21237.8303,1.9414887576926139,433.73,37.10199674704611
2022-09-06 16:00:00+00:00,21151.295800000004,3.7613918204766374,499.49,26.2476987264913
2022-09-06 17:00:00+00:00,21058.0556,3.548156733940482,528.88,20.195464740993682
2022-09-06 18:00:00+00:00,20914.053200000002,3.119534297261827,453.18,19.822881003267597
2022-09-06 19:00:00+00:00,20691.1927,7.706141786401251,385.09,13.741603480124667
2022-09-06 20:00:00+00:00,20681.701999999997,1.8217720936074042,260.23,22.716656379212903
2022-09-06 21:00:00+00:00,20742.445600000003,0.34164284061424066,149.84,25.66015829106308
2022-09-06 22:00:00+00:00,20520.1549,1.877502370217403,44.72,27.728778325296176
2022-09-06 23:00:00+00:00,20433.636600000005,0.24581715791071482,1.58,17.947387198826885
2022-09-07 00:00:00+00:00,20009.5118,0.0,0.0,41.747800729383265
2022-09-07 01:00:00+00:00,19106.007299999997,0.0,0.0,57.26137903227024
2022-09-07 02:00:00+00:00,17992.719399999998,0.0,0.0,25.801736305585358
2022-09-07 03:00:00+00:00,16843.6384,0.0,0.0,41.340456157618945
2022-09-07 04:00:00+00:00,15967.4511,0.0,0.0,32.8100337309416
2022-09-07 05:00:00+00:00,15342.821000000002,0.0,0.0,19.362733080994346
2022-09-07 06:00:00+00:00,14925.3629,0.0,0.0,12.762125945542143
2022-09-07 07:00:00+00:00,14689.779,0.0,0.0,13.310280262000974
2022-09-07 08:00:00+00:00,14754.344,0.0,0.0,48.17027176160704
2022-09-07 09:00:00+00:00,15446.348899999999,0.0,0.0,19.281064917084425
2022-09-07 10:00:00+00:00,16808.186999999998,0.0,21.54,16.293349093357737
2022-09-07 11:00:00+00:00,17886.6488,2.3189462819174103,138.6,8.162426928596725
2022-09-07 12:00:00+00:00,18573.541,15.096221190852004,339.92,0.8462582631042136
2022-09-07 13:00:00+00:00,18953.019800000002,16.2240792612625,599.87,4.528127933522516
2022-09-07 14:00:00+00:00,19168.212199999998,20.501724104678207,828.01,0.5818425712005855
2022-09-07 15:00:00+00:00,19339.907800000004,27.17509714280533,886.82,3.9097063999565167
2022-09-07 16:00:00+00:00,19378.5002,24.26956401590053,893.47,2.354576866768702
2022-09-07 17:00:00+00:00,19423.313099999996,33.6429891185047,972.06,0.9276061116012944
2022-09-07 18:00:00+00:00,19472.651500000004,52.48713291277457,990.47,0.2451871043625783
2022-09-07 19:00:00+00:00,19632.5254,46.83589283445683,936.24,1.3881351537168942
2022-09-07 20:00:00+00:00,19732.091300000004,42.2457293451875,704.97,2.2917504160189504
2022-09-07 21:00:00+00:00,19989.8178,23.24841787141761,400.83,7.144381807624314
2022-09-07 22:00:00+00:00,19963.8831,9.964768898601607,114.61,5.223499517958389
2022-09-07 23:00:00+00:00,19990.7665,0.758538930611163,3.32,5.342178515093863
2022-09-08 00:00:00+00:00,19627.159800000005,0.0,0.0,7.557358184500647
2022-09-08 01:00:00+00:00,18715.177299999996,0.0,0.0,13.630871386224328
2022-09-08 02:00:00+00:00,17573.1552,0.0,0.0,8.507370220910255
2022-09-08 03:00:00+00:00,16445.494599999998,0.0,0.0,17.07353960356751
2022-09-08 04:00:00+00:00,15555.6057,0.0,0.0,1.2435660505911272
2022-09-08 05:00:00+00:00,14952.4695,0.0,0.0,0.18114265131404417
2022-09-08 06:00:00+00:00,14520.8957,0.0,0.0,0.21887493178418882
2022-09-08 07:00:00+00:00,14293.722300000001,0.0,0.0,0.13734119892009072
2022-09-08 08:00:00+00:00,14339.630700000002,0.0,0.0,0.295820938630144
2022-09-08 09:00:00+00:00,14994.0217,0.0,0.0,0.5775207277995675
2022-09-08 10:00:00+00:00,16255.186899999999,0.0,31.24,0.757722687505464
2022-09-08 11:00:00+00:00,17234.0309,3.595434866915478,318.86,0.5303689145780716
2022-09-08 12:00:00+00:00,17816.037000000004,18.63552638489392,825.2,1.9234906594648966
2022-09-08 13:00:00+00:00,18210.347899999997,47.17593582868883,1421.7,1.522955676547356
2022-09-08 14:00:00+00:00,18442.772099999995,61.594007256696706,1823.91,0.9244249829865023
2022-09-08 15:00:00+00:00,18649.5242,72.40370948422628,2042.49,0.3156513248941954
2022-09-08 16:00:00+00:00,18847.2859,84.56409502294694,2241.43,0.2432299868350004
2022-09-08 17:00:00+00:00,19347.9316,90.65377312593668,2175.46,0.0764378644729018
2022-09-08 18:00:00+00:00,19739.6378,96.20523661708665,2156.75,0.1457500964258898
2022-09-08 19:00:00+00:00,20296.6293,85.00512595083194,1875.98,0.2194930584411317
2022-09-08 20:00:00+00:00,20931.5131,69.04332071557366,1427.38,0.32269305842886503
2022-09-08 21:00:00+00:00,21440.3935,44.03083976830304,776.91,0.018462344118262253
2022-09-08 22:00:00+00:00,21294.5264,18.70708623597782,173.83,0.019319433158655117
