site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_323673,9,22,8.373674066666666,12.302620235874956,11.334243742787086,16.411549252585253,30
wind_323673,9,23,12.600050866666667,16.79321063896148,14.00361651007328,17.826819011265947,30
wind_323673,10,0,19.131520322580645,12.554428454063524,23.761530871027233,17.329854800663647,31
wind_323673,10,1,17.75087987096774,12.572277202815876,20.74467397982068,15.427390575902546,31
wind_323673,10,2,18.14828622580645,13.074305331099172,22.250803000994463,16.679664590989148,31
wind_323673,10,3,17.924807612903226,14.297413209401114,22.257433342423166,18.086205060140333,31
wind_323673,10,4,16.982169387096775,14.897825899708769,19.981724599311132,15.881148627938984,31
wind_323673,10,5,14.074583193548387,11.898794869709898,18.213817929176347,16.157419285528327,31
wind_323673,10,6,13.362235,12.590147410561734,17.780613891268906,17.173298768809996,31
wind_323673,10,7,14.428440612903225,16.023073909986113,16.145536837234104,15.970448133768064,31
wind_323673,10,8,13.74789212903226,16.24316126504998,16.051490036411707,17.119056663438606,31
wind_323673,10,9,13.35206474193548,17.327186129243096,17.42115407705604,18.93139573543216,31
wind_323673,10,10,12.801916677419355,17.504746489256345,18.429048039870022,21.005302732629357,31
wind_323673,10,11,14.961081032258065,18.71402339063778,19.017369027419036,19.797101325753257,31
wind_323673,10,12,15.590474193548388,18.28736704450132,18.062466799824207,17.84842914109032,31
wind_323673,10,13,12.555143806451612,17.12715936268823,15.79993818063889,17.066434963347195,31
wind_323673,10,14,13.608233096774194,17.748991773990316,15.241520013472574,16.54384644322358,31
wind_323673,10,15,12.573343903225807,17.065614674261177,15.190662259782684,16.547512353870015,31
wind_323673,10,16,13.119445322580646,17.217321554651104,17.16094744565991,17.625801925332514,31
wind_323673,10,17,15.403919096774194,17.617992373350717,20.77274340644613,21.358572648783447,31
wind_323673,10,18,15.880531161290323,16.71471790108421,21.892138540672995,21.244841296411145,31
wind_323673,10,19,16.228674677419356,16.937385595982995,22.83554423078822,23.406129749886468,31
wind_323673,10,20,15.724937774193549,15.565314095591773,21.08388276943511,20.13251010420453,31
wind_323673,10,21,16.27399651612903,15.601493123742362,20.67564430065688,19.309713624732115,31
wind_323673,10,22,16.870044516129035,13.04820576535067,21.2559355947169,17.055797326630813,31
wind_323673,10,23,17.890897161290322,13.284476913953403,20.55294351193373,14.033992292024713,31
wind_323673,11,0,30.631710333333334,24.293012027417284,34.35256571812736,26.502519197466093,30
wind_323673,11,1,30.74957553333333,25.002603257226117,32.30663395249747,26.28841751689736,30
wind_323673,11,2,32.604579466666664,25.192317189214627,31.837063516559514,26.210872372213835,30
wind_323673,11,3,31.375794900000002,24.16823070728246,32.256491169883894,25.276324997924984,30
wind_323673,11,4,31.645530899999997,26.039341210348248,33.06194293570831,26.17863554681374,30
wind_323673,11,5,31.752563000000002,23.983480708725104,31.52850640063179,25.52251113822489,30
wind_323673,11,6,31.504562766666663,23.352928586890656,31.02336879822409,24.58661789305872,30
wind_323673,11,7,28.75971173333334,21.321750710187985,30.0428439224142,23.886279645539904,30
