site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_323690,8,22,5.436353027069796,7.817561299211402,4.50778255157578,6.482541711163369,31
wind_323690,8,23,5.101690895332629,7.359587802275056,4.019371923392345,5.981553287412589,31
wind_323690,9,0,4.731326156099142,9.945091206038315,6.198338909558206,9.27855435790163,30
wind_323690,9,1,5.056630170605552,7.808779770084084,6.174899592289107,9.811004431423402,30
wind_323690,9,2,5.826386935732586,9.12313668045004,6.110107674665849,10.445002274810493,30
wind_323690,9,3,5.744628542343632,9.840952123046305,5.811754298923883,9.78039605455659,30
wind_323690,9,4,6.659555561784218,12.580449450689263,6.0563561410246916,10.217718771058298,30
wind_323690,9,5,6.3037078305975704,11.91391691028554,6.162768942970863,10.304963849529706,30
wind_323690,9,6,7.0509899842676065,12.067659125088982,6.431041126507756,11.226500145773612,30
wind_323690,9,7,6.672825848133317,12.134946490290913,5.846613477611789,10.910307791843698,30
wind_323690,9,8,6.091032107508678,11.583153973584757,6.568705576079604,11.039546726322703,30
wind_323690,9,9,7.234343047222505,12.605529343549092,6.539490798996579,11.240484779639909,30
wind_323690,9,10,5.169215628515352,11.206381032679438,7.455134780419552,11.311799752442388,30
wind_323690,9,11,5.3364208030227,9.936365381539268,6.002411201269461,9.194515913166757,30
wind_323690,9,12,4.964916981833966,7.876938667800485,6.46095392477338,9.32586807038729,30
wind_323690,9,13,3.0405504057034785,5.187051739707432,5.562739828195695,9.801359815487467,30
wind_323690,9,14,3.602326815646301,6.824875170036227,5.435218916541062,9.94754702651657,30
wind_323690,9,15,5.720073654797693,11.691342568834951,6.344915850297239,11.559554386491715,30
wind_323690,9,16,6.512870990277297,12.825722887283858,6.444540949873003,12.751693590332476,30
wind_323690,9,17,6.015630452857241,11.99815313160957,7.4731303866920795,13.903021311103748,30
wind_323690,9,18,5.040453085272865,11.081087495791847,8.110283947425392,14.88505242151051,30
wind_323690,9,19,5.205155025166733,10.372840705243954,10.604911724152034,19.08363190497203,30
wind_323690,9,20,5.861988910493458,11.991021204633144,10.441256131551494,17.558451448556742,30
wind_323690,9,21,6.7791228352141,12.664649046797381,8.814950460635385,14.242243926172016,30
wind_323690,9,22,7.731665401303663,13.794655893971251,9.342447008416165,15.123404215011043,30
wind_323690,9,23,7.339251837726144,13.774417108378328,8.44721583797203,13.813214980527842,30
wind_323690,10,0,12.621040141772019,16.70495754608701,12.47500149702161,16.016504647151102,31
wind_323690,10,1,13.375079846523322,16.351998678197777,13.261372436082715,17.28563743649988,31
wind_323690,10,2,11.740680974320108,14.528910319071327,13.422332611417525,17.95809656890592,31
wind_323690,10,3,12.483939988422636,15.931647336389924,13.971083495552215,17.679932877518542,31
wind_323690,10,4,13.023985198633717,17.014579139486422,13.556293415236187,16.736961042129145,31
wind_323690,10,5,12.562006704943228,16.96569463056116,12.868095625517437,16.305431314478618,31
wind_323690,10,6,10.769782476314512,15.533429817077305,12.958693145338334,16.4875988106399,31
wind_323690,10,7,10.800658092839436,15.731179922515087,13.014636613637991,17.409844851553782,31
wind_323690,10,8,10.344166818023533,14.281189046853653,12.776110730221085,17.187739869149258,31
wind_323690,10,9,8.559548882916452,11.355121879768149,12.990867059552084,16.141168351830615,31
wind_323690,10,10,7.950886002150679,11.202289196981845,12.894680883517852,16.04985740889998,31
wind_323690,10,11,7.631303038136868,10.596583979338796,12.687000575938788,14.754232921627565,31
wind_323690,10,12,8.239280115580538,10.44062256573885,12.028008826383761,13.726649523286774,31
wind_323690,10,13,9.562118123217315,13.659434860806419,11.952509446208651,13.55034690428161,31
wind_323690,10,14,9.554402072421412,14.826253816329805,12.153453738588176,15.991289507533011,31
wind_323690,10,15,10.311997169224572,15.700191361227194,11.306406603840944,15.852012863253501,31
wind_323690,10,16,10.34807449882109,14.828379212811777,11.954261793351282,16.180188431226167,31
wind_323690,10,17,11.555357127104774,15.750643027156462,13.292487114891248,17.491798283680364,31
wind_323690,10,18,11.506181607167166,16.16565530619189,13.799411761398868,17.652161737854772,31
wind_323690,10,19,12.359641264536386,15.94482154403789,17.58758638648092,21.83247371458124,31
wind_323690,10,20,10.86034942867836,13.740259740981907,15.009989580606529,18.582683597231043,31
wind_323690,10,21,11.411128694981446,15.58420434604362,13.447971573925427,17.004157557220513,31
wind_323690,10,22,9.681490426558918,12.740205598696813,13.30685787589279,17.47467651578698,31
wind_323690,10,23,10.793806937522714,15.235690625353671,11.548762994071046,15.558509604314585,31
wind_323690,11,0,23.208066588798637,21.061000753306008,24.612733573256165,20.56973614493742,30
wind_323690,11,1,25.160345156693815,22.156461595652356,26.586743660905995,21.09012429737502,30
wind_323690,11,2,25.997844142884833,20.7658464173588,25.069180928025734,20.768760585856263,30
wind_323690,11,3,24.483536122711875,20.245491662222186,26.8221974142129,20.305670485694467,30
wind_323690,11,4,24.427488017615868,20.2672545931987,27.504576964981585,20.551883894886554,30
wind_323690,11,5,24.667056156596335,20.823961710301493,26.289934656634237,19.134404144546473,30
wind_323690,11,6,23.792829225549635,20.944425904856097,24.142405380840895,18.852357738614455,30
wind_323690,11,7,21.948258947391,21.131022705094175,23.21984730159051,19.622837802575393,30
wind_323690,11,8,22.951850544920386,22.071022955052612,24.728264755573306,21.88427353730754,30
wind_323690,11,9,23.192402315204276,21.221369036782246,23.27546756183819,21.691231046272833,30
wind_323690,11,10,24.07647836432053,22.559149936177082,24.678712561128574,22.455210032932268,30
wind_323690,11,11,23.203713898962185,22.049728291774983,24.133189191227356,21.67584767018301,30
wind_323690,11,12,23.448955850364584,22.908468954770015,25.414663672177124,21.920658717593593,30
wind_323690,11,13,23.239000275375073,23.05554888244715,24.31012724825108,22.23903432363508,30
wind_323690,11,14,22.027420075649516,23.63761887365516,25.02314149801658,23.22098356785424,30
wind_323690,11,15,21.949669299303494,22.2466332502029,24.995034717706712,23.762587176652218,30
wind_323690,11,16,20.83507846073178,21.46202290910131,25.895419914912218,23.495396040267273,30
wind_323690,11,17,19.903737260625597,20.868196102869014,23.98947437667482,22.606892522778605,30
wind_323690,11,18,18.66989977581056,18.722043285906786,24.231866267907527,22.182664671566165,30
wind_323690,11,19,19.13105576673287,18.50028601804076,23.15164619578143,21.829107030126565,30
wind_323690,11,20,17.89430387905833,17.94670557347647,22.859843273009567,21.418756586637876,30
wind_323690,11,21,17.921052978207676,18.181980704045053,20.959284943893635,20.122564331250302,30
wind_323690,11,22,16.866588899125013,18.982064862419413,21.233161907098243,19.62810283276128,30
