count,median,mean,p25,p75,ws_bin,archetype,isotonic,used_in_fit
4248,0.4703,0.4325,0.4162,0.4976,7.6250,A2,0.4703,True
3985,0.5210,0.4784,0.4565,0.5495,7.8750,A2,0.5210,True
3987,0.5722,0.5221,0.3523,0.6038,8.1250,A2,0.5722,True
3859,0.6284,0.5768,0.5559,0.6622,8.3750,A2,0.6284,True
3709,0.6879,0.6305,0.4265,0.7262,8.6250,A2,0.6879,True
3451,0.7511,0.6916,0.6647,0.7917,8.8750,A2,0.7511,True
3338,0.8239,0.7560,0.7361,0.8664,9.1250,A2,0.8239,True
3210,0.8992,0.8104,0.7957,0.9368,9.3750,A2,0.8992,True
3050,0.9473,0.8544,0.8800,0.9519,9.6250,A2,0.9473,True
2856,0.9543,0.8690,0.9438,0.9591,9.8750,A2,0.9543,True
2719,0.9614,0.8904,0.9520,0.9661,10.1250,A2,0.9614,True
2595,0.9683,0.9049,0.9587,0.9730,10.3750,A2,0.9683,True
2437,0.9750,0.9234,0.9658,0.9800,10.6250,A2,0.9750,True
2273,0.9815,0.9387,0.8547,0.9870,10.8750,A2,0.9815,True
2147,0.9896,0.9592,0.9805,0.9943,11.1250,A2,0.9896,True
2066,0.9967,0.9755,0.9874,1.0000,11.3750,A2,0.9967,True
1871,1.0000,0.9869,0.9951,1.0000,11.6250,A2,1.0000,True
1832,1.0000,0.9891,1.0000,1.0000,11.8750,A2,1.0000,True
1614,1.0000,0.9904,1.0000,1.0000,12.1250,A2,1.0000,True
1560,1.0000,0.9924,1.0000,1.0000,12.3750,A2,1.0000,True
1450,1.0000,0.9943,1.0000,1.0000,12.6250,A2,1.0000,True
1267,1.0000,0.9956,1.0000,1.0000,12.8750,A2,1.0000,True
1226,1.0000,0.9975,1.0000,1.0000,13.1250,A2,1.0000,True
1106,1.0000,0.9990,0.9983,1.0000,13.3750,A2,1.0000,True
993,1.0000,1.0004,1.0000,1.0000,13.6250,A2,1.0000,True
927,1.0000,1.0011,1.0000,1.0000,13.8750,A2,1.0000,True
880,1.0000,1.0011,1.0000,1.0000,14.1250,A2,1.0000,True
765,1.0000,1.0012,1.0000,1.0000,14.3750,A2,1.0000,True
666,1.0000,1.0013,1.0000,1.0053,14.6250,A2,1.0000,True
599,1.0000,1.0012,1.0000,1.0000,14.8750,A2,1.0000,True
523,1.0000,1.0012,1.0000,1.0000,15.1250,A2,1.0000,True
483,1.0000,1.0012,1.0000,1.0000,15.3750,A2,1.0000,True
413,1.0000,1.0011,1.0000,1.0000,15.6250,A2,1.0000,True
406,1.0000,1.0012,1.0000,1.0000,15.8750,A2,1.0000,True
349,1.0000,1.0013,1.0000,1.0000,16.1250,A2,1.0000,True
309,1.0000,1.0014,1.0000,1.0053,16.3750,A2,1.0000,True
288,1.0000,1.0011,1.0000,1.0000,16.6250,A2,1.0000,True
236,1.0000,1.0017,1.0000,1.0053,16.8750,A2,1.0000,True
231,1.0000,1.0015,1.0000,1.0053,17.1250,A2,1.0000,True
182,1.0000,1.0013,1.0000,1.0040,17.3750,A2,1.0000,True
186,1.0000,1.0014,1.0000,1.0053,17.6250,A2,1.0000,True
147,1.0000,1.0013,1.0000,1.0027,17.8750,A2,1.0000,True
132,1.0000,1.0012,1.0000,1.0000,18.1250,A2,1.0000,True
107,1.0000,1.0015,1.0000,1.0053,18.3750,A2,1.0000,True
111,1.0000,1.0012,1.0000,1.0000,18.6250,A2,1.0000,True
91,1.0000,1.0008,1.0000,1.0000,18.8750,A2,1.0000,True
92,1.0000,1.0012,1.0000,1.0000,19.1250,A2,1.0000,True
66,1.0000,1.0018,1.0000,1.0053,19.3750,A2,1.0000,True
57,1.0000,1.0018,1.0000,1.0053,19.6250,A2,1.0000,True
54,1.0000,1.0011,1.0000,1.0000,19.8750,A2,1.0000,True
54,1.0000,1.0013,1.0000,1.0000,20.1250,A2,1.0000,True
56,1.0000,1.0014,1.0000,1.0053,20.3750,A2,1.0000,True
29,1.0000,1.0011,1.0000,1.0000,20.6250,A2,1.0000,False
34,1.0000,1.0017,1.0000,1.0053,20.8750,A2,1.0000,True
21,1.0000,1.0010,1.0000,1.0000,21.1250,A2,1.0000,False
27,1.0000,1.0014,1.0000,1.0027,21.3750,A2,1.0000,False
20,1.0000,1.0013,1.0000,1.0013,21.6250,A2,1.0000,False
26,1.0000,1.0004,1.0000,1.0000,21.8750,A2,1.0000,False
16,1.0000,1.0010,1.0000,1.0000,22.1250,A2,1.0000,False
11,1.0000,1.0005,1.0000,1.0000,22.3750,A2,1.0000,False
10,1.0027,1.0027,1.0000,1.0053,22.6250,A2,1.0000,False
11,1.0000,1.0010,1.0000,1.0000,22.8750,A2,1.0000,False
9,1.0000,1.0024,1.0000,1.0053,23.1250,A2,1.0000,False
8,1.0000,1.0007,1.0000,1.0000,23.3750,A2,1.0000,False
6,1.0000,1.0009,1.0000,1.0000,23.6250,A2,1.0000,False
2,1.0027,1.0027,1.0013,1.0040,23.8750,A2,1.0000,False
5,1.0000,1.0021,1.0000,1.0053,24.1250,A2,1.0000,False
8,1.0000,1.0020,1.0000,1.0053,24.3750,A2,1.0000,False
6,1.0027,1.0027,1.0000,1.0053,24.6250,A2,1.0000,False
22,0.0000,0.0455,0.0000,0.0000,24.8750,A2,1.0000,False
