site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
solar_323808,3,14,6.388971815001632,4.373919575909868,6.298854162093423,3.9190721175839585,31
solar_323808,3,15,7.015466283064505,5.747422520015738,7.8654462336917765,4.769550193600758,31
solar_323808,3,16,7.118828914933523,6.523275582693491,9.653715379933058,5.465741110942047,31
solar_323808,3,17,6.850579502080426,7.0867272951800055,10.114427444407143,5.829528151399619,31
solar_323808,3,18,7.155580503911742,6.840154171386724,9.757812944364126,6.307963594735497,31
solar_323808,3,19,6.575227106674796,6.289120812477499,7.785398641677071,5.530757340025148,31
solar_323808,3,20,5.8554995350287165,5.189937872873913,5.777637623261425,4.5036588658391965,31
solar_323808,3,21,3.9364238869886585,3.5025097525004556,4.025319634603659,2.910201597597606,31
solar_323808,3,22,2.0753798046269876,1.6388703642238454,2.1187482919646246,1.4347543005190035,31
solar_323808,3,23,0.11575060605846427,0.17411983850267163,0.16553315868555898,0.1837182031343224,31
solar_323808,4,0,0.0,0.0,0.0,0.0,30
solar_323808,4,1,0.0,0.0,0.0,0.0,30
solar_323808,4,2,0.0,0.0,0.0,0.0,30
solar_323808,4,3,0.0,0.0,0.0,0.0,30
solar_323808,4,4,0.0,0.0,0.0,0.0,30
solar_323808,4,5,0.0,0.0,0.0,0.0,30
solar_323808,4,6,0.0,0.0,0.0,0.0,30
solar_323808,4,7,0.0,0.0,0.0,0.0,30
solar_323808,4,8,0.0,0.0,0.0,0.0,30
solar_323808,4,9,0.0,0.0,0.0,0.0,30
solar_323808,4,10,0.0,0.0,0.0,0.0,30
solar_323808,4,11,0.3932134191417364,0.30421071886712187,0.47071285212268943,0.31430419895280365,30
solar_323808,4,12,2.579130192315237,1.67563454989621,2.82488600812695,1.3511236233096107,30
solar_323808,4,13,5.0390107709225544,3.6049674617136116,5.312775204339662,2.619758740120092,30
solar_323808,4,14,6.633163743268961,5.0864213505169715,6.753719987251011,4.431391200384504,30
solar_323808,4,15,7.968169976416582,6.232352104601695,8.761691802486395,4.657604949139042,30
solar_323808,4,16,8.409931836675717,6.541845414216248,9.116273654708355,5.00501088378877,30
solar_323808,4,17,7.581739250724014,6.780879775032613,9.096295310970794,5.508295710541966,30
solar_323808,4,18,6.59014154688335,6.866756208928993,8.657346256613149,5.185519819074433,30
solar_323808,4,19,6.101129306898954,6.193226827075032,6.966835453338187,5.050496145655911,30
solar_323808,4,20,5.702221850013414,4.75384443901277,5.863667941573894,4.067532639939877,30
solar_323808,4,21,3.800815022890218,3.693433827573318,3.9875632149819187,3.025556910507687,30
solar_323808,4,22,1.9582535148012559,1.886346313516061,2.2541124799525813,1.6133915473365645,30
solar_323808,4,23,0.5125688761280179,0.34925646360834484,0.5521319640278868,0.25725600483174993,30
solar_323808,5,0,0.15554377912639297,0.1634790969164223,0.18667906996521325,0.1466276009083088,31
solar_323808,5,1,0.0,0.0,0.0,0.0,31
solar_323808,5,2,0.0,0.0,0.0,0.0,31
solar_323808,5,3,0.0,0.0,0.0,0.0,31
solar_323808,5,4,0.0,0.0,0.0,0.0,31
solar_323808,5,5,0.0,0.0,0.0,0.0,31
solar_323808,5,6,0.0,0.0,0.0,0.0,31
solar_323808,5,7,0.0,0.0,0.0,0.0,31
solar_323808,5,8,0.0,0.0,0.0,0.0,31
solar_323808,5,9,0.0,0.0,0.0,0.0,31
solar_323808,5,10,0.1822635848052138,0.16233948709752238,0.1316165266989252,0.16630093310835906,31
solar_323808,5,11,0.731672198093739,0.41097638913978907,0.8793139084178139,0.3244492522826497,31
solar_323808,5,12,2.9968092819333387,1.6954009356864777,3.2366323803645134,1.248294356645982,31
solar_323808,5,13,5.6131034665517925,2.9523965054253334,5.744538798494137,2.446639235955282,31
solar_323808,5,14,7.041569588868557,4.430442347398186,8.074962310499146,3.4700400230507182,31
solar_323808,5,15,8.873052596100095,4.82464278368456,10.090579073313318,4.5775766295013085,31
solar_323808,5,16,9.434975633556379,5.9049505990884175,10.161288309981765,5.433192390745588,31
solar_323808,5,17,9.86507621855171,6.2170376606364535,10.826992028560188,5.565567895244411,31
solar_323808,5,18,9.813161648309093,5.338680291490756,9.619602642979222,5.325648084358275,31
solar_323808,5,19,8.945411016131478,5.088259157484328,9.138920780151604,4.486925897866169,31
solar_323808,5,20,7.066979896611224,4.173915155553378,7.5272244630140674,4.138177666258364,31
solar_323808,5,21,5.234631826620187,3.1886747648885048,5.787342088616621,2.4950654010498585,31
solar_323808,5,22,3.0974817279402007,1.5674300704534077,3.1261455144077304,1.3529131969337767,31
solar_323808,5,23,0.9198693993080876,0.37699220332543126,0.8662944876378919,0.2932838994166352,31
solar_323808,6,0,0.44673757892384525,0.184981611616953,0.4559352770319317,0.14656136282772814,30
solar_323808,6,1,0.0,0.0,0.0,0.0,30
solar_323808,6,2,0.0,0.0,0.0,0.0,30
solar_323808,6,3,0.0,0.0,0.0,0.0,30
solar_323808,6,4,0.0,0.0,0.0,0.0,30
solar_323808,6,5,0.0,0.0,0.0,0.0,30
solar_323808,6,6,0.0,0.0,0.0,0.0,30
solar_323808,6,7,0.0,0.0,0.0,0.0,30
solar_323808,6,8,0.0,0.0,0.0,0.0,30
